Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,27/12/2020 00:00,4.8,ug/m3,P
KF1,PM2.5,28/12/2020 00:00,9.8,ug/m3,P
KF1,PM2.5,29/12/2020 00:00,11.9,ug/m3,P
KF1,PM2.5,30/12/2020 00:00,12.4,ug/m3,P
KF1,PM2.5,31/12/2020 00:00,15.8,ug/m3,P
KF1,PM2.5,01/01/2021 00:00,21.1,ug/m3,P
KF1,PM2.5,02/01/2021 00:00,6.9,ug/m3,P
KF1,PM2.5,03/01/2021 00:00,7.2,ug/m3,P
KF1,PM2.5,04/01/2021 00:00,3.9,ug/m3,P
KF1,PM2.5,05/01/2021 00:00,3.8,ug/m3,P
KF1,PM2.5,06/01/2021 00:00,5.6,ug/m3,P
KF1,PM2.5,07/01/2021 00:00,16.2,ug/m3,P
KF1,PM2.5,08/01/2021 00:00,22.5,ug/m3,P
KF1,PM2.5,09/01/2021 00:00,17.5,ug/m3,P
KF1,PM2.5,10/01/2021 00:00,16.6,ug/m3,P
KF1,PM2.5,11/01/2021 00:00,6.2,ug/m3,P
KF1,PM2.5,12/01/2021 00:00,4.7,ug/m3,P
KF1,PM2.5,13/01/2021 00:00,11.7,ug/m3,P
KF1,PM2.5,14/01/2021 00:00,4.0,ug/m3,P
KF1,PM2.5,15/01/2021 00:00,16.3,ug/m3,P
KF1,PM2.5,16/01/2021 00:00,6.7,ug/m3,P
KF1,PM2.5,17/01/2021 00:00,7.8,ug/m3,P
KF1,PM2.5,18/01/2021 00:00,6.3,ug/m3,P
KF1,PM2.5,19/01/2021 00:00,2.5,ug/m3,P
KF1,PM2.5,20/01/2021 00:00,4.7,ug/m3,P
KF1,PM2.5,21/01/2021 00:00,4.1,ug/m3,P
KF1,PM2.5,22/01/2021 00:00,6.5,ug/m3,P
KF1,PM2.5,23/01/2021 00:00,8.6,ug/m3,P
KF1,PM2.5,24/01/2021 00:00,8.8,ug/m3,P
KF1,PM2.5,25/01/2021 00:00,9.0,ug/m3,P
KF1,PM2.5,26/01/2021 00:00,7.1,ug/m3,P
KF1,PM2.5,27/01/2021 00:00,9.2,ug/m3,P
KF1,PM2.5,28/01/2021 00:00,4.4,ug/m3,P
KF1,PM2.5,29/01/2021 00:00,5.8,ug/m3,P
KF1,PM2.5,30/01/2021 00:00,6.0,ug/m3,P
KF1,PM2.5,31/01/2021 00:00,8.9,ug/m3,P
KF1,PM2.5,01/02/2021 00:00,14.5,ug/m3,P
KF1,PM2.5,02/02/2021 00:00,10.2,ug/m3,P
KF1,PM2.5,03/02/2021 00:00,7.8,ug/m3,P
KF1,PM2.5,04/02/2021 00:00,7.3,ug/m3,P
KF1,PM2.5,05/02/2021 00:00,4.9,ug/m3,P
KF1,PM2.5,06/02/2021 00:00,8.7,ug/m3,P
KF1,PM2.5,07/02/2021 00:00,8.1,ug/m3,P
KF1,PM2.5,08/02/2021 00:00,6.0,ug/m3,P
KF1,PM2.5,09/02/2021 00:00,5.5,ug/m3,P
KF1,PM2.5,10/02/2021 00:00,5.3,ug/m3,P
KF1,PM2.5,11/02/2021 00:00,12.3,ug/m3,P
KF1,PM2.5,12/02/2021 00:00,12.8,ug/m3,P
KF1,PM2.5,13/02/2021 00:00,10.6,ug/m3,P
KF1,PM2.5,14/02/2021 00:00,11.3,ug/m3,P
KF1,PM2.5,15/02/2021 00:00,7.9,ug/m3,P
KF1,PM2.5,16/02/2021 00:00,7.4,ug/m3,P
KF1,PM2.5,17/02/2021 00:00,6.6,ug/m3,P
KF1,PM2.5,18/02/2021 00:00,5.3,ug/m3,P
KF1,PM2.5,19/02/2021 00:00,6.2,ug/m3,P
KF1,PM2.5,20/02/2021 00:00,13.3,ug/m3,P
KF1,PM2.5,21/02/2021 00:00,12.4,ug/m3,P
KF1,PM2.5,22/02/2021 00:00,17.7,ug/m3,P
KF1,PM2.5,23/02/2021 00:00,7.0,ug/m3,P
KF1,PM2.5,24/02/2021 00:00,7.0,ug/m3,P
KF1,PM2.5,25/02/2021 00:00,8.0,ug/m3,P
KF1,PM2.5,26/02/2021 00:00,12.9,ug/m3,P
KF1,PM2.5,27/02/2021 00:00,21.0,ug/m3,P
KF1,PM2.5,28/02/2021 00:00,17.8,ug/m3,P
KF1,PM2.5,01/03/2021 00:00,27.2,ug/m3,P
KF1,PM2.5,02/03/2021 00:00,38.5,ug/m3,P
KF1,PM2.5,03/03/2021 00:00,43.4,ug/m3,P
KF1,PM2.5,04/03/2021 00:00,13.1,ug/m3,P
KF1,PM2.5,05/03/2021 00:00,5.4,ug/m3,P
KF1,PM2.5,06/03/2021 00:00,5.6,ug/m3,P
KF1,PM2.5,07/03/2021 00:00,18.7,ug/m3,P
KF1,PM2.5,08/03/2021 00:00,31.1,ug/m3,P
KF1,PM2.5,09/03/2021 00:00,16.1,ug/m3,P
KF1,PM2.5,10/03/2021 00:00,11.6,ug/m3,P
KF1,PM2.5,11/03/2021 00:00,6.6,ug/m3,P
KF1,PM2.5,12/03/2021 00:00,5.3,ug/m3,P
KF1,PM2.5,13/03/2021 00:00,3.7,ug/m3,P
KF1,PM2.5,14/03/2021 00:00,4.3,ug/m3,P
KF1,PM2.5,15/03/2021 00:00,7.6,ug/m3,P
KF1,PM2.5,16/03/2021 00:00,8.3,ug/m3,P
KF1,PM2.5,17/03/2021 00:00,11.7,ug/m3,P
KF1,PM2.5,18/03/2021 00:00,11.1,ug/m3,P
KF1,PM2.5,19/03/2021 00:00,3.5,ug/m3,P
KF1,PM2.5,20/03/2021 00:00,9.4,ug/m3,P
KF1,PM2.5,21/03/2021 00:00,7.8,ug/m3,P
KF1,PM2.5,22/03/2021 00:00,14.8,ug/m3,P
KF1,PM2.5,23/03/2021 00:00,17.7,ug/m3,P
KF1,PM2.5,24/03/2021 00:00,18.6,ug/m3,P
KF1,PM2.5,25/03/2021 00:00,6.6,ug/m3,P
KF1,PM2.5,26/03/2021 00:00,5.0,ug/m3,P
KF1,PM2.5,27/03/2021 00:00,5.3,ug/m3,P
KF1,PM2.5,28/03/2021 00:00,8.0,ug/m3,P
KF1,PM2.5,29/03/2021 00:00,8.6,ug/m3,P
KF1,PM2.5,30/03/2021 00:00,14.6,ug/m3,P
KF1,PM2.5,31/03/2021 00:00,24.4,ug/m3,P
KF1,PM2.5,01/04/2021 00:00,19.0,ug/m3,P
KF1,PM2.5,02/04/2021 00:00,5.4,ug/m3,P
KF1,PM2.5,03/04/2021 00:00,9.6,ug/m3,P
KF1,PM2.5,04/04/2021 00:00,12.7,ug/m3,P
KF1,PM2.5,05/04/2021 00:00,6.4,ug/m3,P
KF1,PM2.5,06/04/2021 00:00,3.8,ug/m3,P
KF1,PM2.5,07/04/2021 00:00,5.5,ug/m3,P
KF1,PM2.5,08/04/2021 00:00,6.1,ug/m3,P
KF1,PM2.5,09/04/2021 00:00,5.5,ug/m3,P
KF1,PM2.5,10/04/2021 00:00,6.3,ug/m3,P
KF1,PM2.5,11/04/2021 00:00,4.5,ug/m3,P
KF1,PM2.5,12/04/2021 00:00,7.5,ug/m3,P
KF1,PM2.5,13/04/2021 00:00,12.6,ug/m3,P
KF1,PM2.5,14/04/2021 00:00,10.6,ug/m3,P
KF1,PM2.5,15/04/2021 00:00,4.5,ug/m3,P
KF1,PM2.5,16/04/2021 00:00,6.7,ug/m3,P
KF1,PM2.5,17/04/2021 00:00,5.0,ug/m3,P
KF1,PM2.5,18/04/2021 00:00,6.3,ug/m3,P
KF1,PM2.5,19/04/2021 00:00,16.6,ug/m3,P
KF1,PM2.5,20/04/2021 00:00,31.3,ug/m3,P
KF1,PM2.5,21/04/2021 00:00,33.9,ug/m3,P
